"Transition","BayesFactor"
"Dera.Ghazi.Khan.to.Gujrat",5.70617353047389
"Dera.Ghazi.Khan.to.Hirat",0.428863655889085
"Dera.Ghazi.Khan.to.Kabul",0.447229923724378
"Dera.Ghazi.Khan.to.Karachi",0.770642516593593
"Dera.Ghazi.Khan.to.Kermanshah",0.671668785314376
"Dera.Ghazi.Khan.to.Multan",5.74829948791226
"Dera.Ghazi.Khan.to.Quetta",0.71599222932541
"Dera.Ghazi.Khan.to.Rahim.Yar.Khan",4.87416449959484
"Dera.Ghazi.Khan.to.Shiraz",0.646995014325234
"Dera.Ghazi.Khan.to.Sukkur",0.625649799608852
"Dera.Ghazi.Khan.to.Tehran",0.71599222932541
"Dera.Ghazi.Khan.to.Turbat",0.300454372136714
"Gujrat.to.Dera.Ghazi.Khan",3.65432713428049
"Gujrat.to.Hirat",0.978751489396393
"Gujrat.to.Kabul",1.1894229951253
"Gujrat.to.Karachi",2.0911126884531
"Gujrat.to.Kermanshah",1.71810476049214
"Gujrat.to.Multan",3.22851830343847
"Gujrat.to.Quetta",1.58570218148173
"Gujrat.to.Rahim.Yar.Khan",3.70038012258531
"Gujrat.to.Shiraz",1.58439585376002
"Gujrat.to.Sukkur",1.5648423484024
"Gujrat.to.Tehran",1.5401855241322
"Gujrat.to.Turbat",0.90908272402078
"Hirat.to.Dera.Ghazi.Khan",0.261099045728824
"Hirat.to.Gujrat",0.402470585382273
"Hirat.to.Kabul",7.36842233938396
"Hirat.to.Karachi",0.429881976999244
"Hirat.to.Kermanshah",1.69267563525258
"Hirat.to.Multan",0.257183348533189
"Hirat.to.Quetta",0.624585216588141
"Hirat.to.Rahim.Yar.Khan",0.288609767230923
"Hirat.to.Shiraz",1.13199554370646
"Hirat.to.Sukkur",0.430900536146128
"Hirat.to.Tehran",1.71542190818042
"Hirat.to.Turbat",0.128049715870148
"Kabul.to.Dera.Ghazi.Khan",0.558025486489605
"Kabul.to.Gujrat",0.991427229824873
"Kabul.to.Hirat",2.19905950205392
"Kabul.to.Karachi",1.43263952060579
"Kabul.to.Kermanshah",2.87863417730102
"Kabul.to.Multan",0.801537541914595
"Kabul.to.Quetta",1.84034119443393
"Kabul.to.Rahim.Yar.Khan",0.778346559885082
"Kabul.to.Shiraz",2.64145997688321
"Kabul.to.Sukkur",1.09173717688472
"Kabul.to.Tehran",3.43847863874946
"Kabul.to.Turbat",1.52854901137119
"Karachi.to.Dera.Ghazi.Khan",0.922705135885601
"Karachi.to.Gujrat",1.85548638943801
"Karachi.to.Hirat",0.465673777295657
"Karachi.to.Kabul",0.994890272624861
"Karachi.to.Kermanshah",1.30270571257643
"Karachi.to.Multan",0.801537541914595
"Karachi.to.Quetta",2.74815333743971
"Karachi.to.Rahim.Yar.Khan",0.773942645092259
"Karachi.to.Shiraz",1.24024966383299
"Karachi.to.Sukkur",2.85195904167129
"Karachi.to.Tehran",1.1213053127974
"Karachi.to.Turbat",1.59616526590227
"Kermanshah.to.Dera.Ghazi.Khan",0.992581290202276
"Kermanshah.to.Gujrat",1.24755516792163
"Kermanshah.to.Hirat",1.00066776008369
"Kermanshah.to.Kabul",2.05084537901144
"Kermanshah.to.Karachi",1.6448469953213
"Kermanshah.to.Multan",0.862842083059253
"Kermanshah.to.Quetta",1.77342221512037
"Kermanshah.to.Rahim.Yar.Khan",1.02733712701776
"Kermanshah.to.Shiraz",2.93743388371737
"Kermanshah.to.Sukkur",1.15464379774717
"Kermanshah.to.Tehran",2.90879686068422
"Kermanshah.to.Turbat",1.76122701227923
"Multan.to.Dera.Ghazi.Khan",3.16487890194322
"Multan.to.Gujrat",3.59347087576236
"Multan.to.Hirat",0.717078769923318
"Multan.to.Kabul",0.940931270181541
"Multan.to.Karachi",1.44912929281002
"Multan.to.Kermanshah",1.4149436706499
"Multan.to.Quetta",1.27443816183737
"Multan.to.Rahim.Yar.Khan",3.66963875623371
"Multan.to.Shiraz",1.26953907240978
"Multan.to.Sukkur",1.06235435142524
"Multan.to.Tehran",1.18821944671589
"Multan.to.Turbat",1.17140181884036
"Quetta.to.Dera.Ghazi.Khan",1.08937975456904
"Quetta.to.Gujrat",1.79790166095319
"Quetta.to.Hirat",0.996045194884521
"Quetta.to.Kabul",1.69267563525258
"Quetta.to.Karachi",3.62001898135513
"Quetta.to.Kermanshah",1.90258659163585
"Quetta.to.Multan",0.968406166880166
"Quetta.to.Rahim.Yar.Khan",1.2256721970595
"Quetta.to.Shiraz",2.30777111849756
"Quetta.to.Sukkur",2.78746937635707
"Quetta.to.Tehran",1.71408102161674
"Quetta.to.Turbat",2.17406266012424
"Rahim.Yar.Khan.to.Dera.Ghazi.Khan",3.87628947003633
"Rahim.Yar.Khan.to.Gujrat",2.56988986731578
"Rahim.Yar.Khan.to.Hirat",0.68891370251112
"Rahim.Yar.Khan.to.Kabul",0.783857478432831
"Rahim.Yar.Khan.to.Karachi",1.16062198259928
"Rahim.Yar.Khan.to.Kermanshah",0.994890272624861
"Rahim.Yar.Khan.to.Multan",2.69454746392689
"Rahim.Yar.Khan.to.Quetta",1.13080654047067
"Rahim.Yar.Khan.to.Shiraz",1.04481288182339
"Rahim.Yar.Khan.to.Sukkur",0.671668785314376
"Rahim.Yar.Khan.to.Tehran",1.14390211296611
"Rahim.Yar.Khan.to.Turbat",0.563271651398382
"Shiraz.to.Dera.Ghazi.Khan",0.9443567063278
"Shiraz.to.Gujrat",1.37598843468848
"Shiraz.to.Hirat",1.12724133160123
"Shiraz.to.Kabul",1.69668216144144
"Shiraz.to.Karachi",1.66604743744367
"Shiraz.to.Kermanshah",2.61590495262213
"Shiraz.to.Multan",0.84939609751275
"Shiraz.to.Quetta",2.20495848620685
"Shiraz.to.Rahim.Yar.Khan",1.00182412096088
"Shiraz.to.Sukkur",1.27443816183737
"Shiraz.to.Tehran",3.0620886478112
"Shiraz.to.Turbat",1.45040005513072
"Sukkur.to.Dera.Ghazi.Khan",1.19183100963257
"Sukkur.to.Gujrat",1.47460773640786
"Sukkur.to.Hirat",0.865086930216751
"Sukkur.to.Kabul",1.21597864906021
"Sukkur.to.Karachi",3.26418015379369
"Sukkur.to.Kermanshah",1.38475740377938
"Sukkur.to.Multan",1.07056296402669
"Sukkur.to.Quetta",2.85528645999379
"Sukkur.to.Rahim.Yar.Khan",1.0308270385271
"Sukkur.to.Shiraz",1.58439585376002
"Sukkur.to.Tehran",1.3772401706976
"Sukkur.to.Turbat",2.26879436909786
"Tehran.to.Dera.Ghazi.Khan",1.06352612833826
"Tehran.to.Gujrat",1.51050245583046
"Tehran.to.Hirat",1.03664937422852
"Tehran.to.Kabul",2.51486915793314
"Tehran.to.Karachi",1.7992651243399
"Tehran.to.Kermanshah",3.05346237539859
"Tehran.to.Multan",1.02617440417961
"Tehran.to.Quetta",1.86652956555909
"Tehran.to.Rahim.Yar.Khan",1.07643509122213
"Tehran.to.Shiraz",2.49613309448076
"Tehran.to.Sukkur",1.06821617535298
"Tehran.to.Turbat",1.40737944885027
"Turbat.to.Dera.Ghazi.Khan",0.113837034600385
"Turbat.to.Gujrat",0.17193678218703
"Turbat.to.Hirat",0.0574632984888864
"Turbat.to.Kabul",0.333196430040803
"Turbat.to.Karachi",5.10332612160272
"Turbat.to.Kermanshah",0.269922503588783
"Turbat.to.Multan",0.218222831168183
"Turbat.to.Quetta",2.10557001431655
"Turbat.to.Rahim.Yar.Khan",0.107220870991516
"Turbat.to.Shiraz",0.362176611963318
"Turbat.to.Sukkur",3.38527390119824
"Turbat.to.Tehran",0.310349905165623
